date,festival_id,tweet_id,tweet_text_hit
Tue Mar 07 16:33:15 +0000 2017,@mysteryland,8.3915197330799e+17,"Ready to find out wholl be hosting our stages this summer?
Tomorrow is the day well announce our 2017 hosting par https://t.co/xkurGkulK7"
Tue Jul 05 15:49:09 +0000 2016,@lcpeachfestival,7.503558474908385e+17,Lost: A pair of glasses. Missing in Action during yesterday's festival. Please contact us if found.
Mon Feb 27 21:03:50 +0000 2017,@Bumbershoot,8.363209640234598e+17,"Today's word of the day...#bumbershoot 
@Dictionarycom
https://t.co/ml1JtL7RbD"
Fri Mar 10 13:53:25 +0000 2017,@ElectricZooNY,8.401989122585272e+17,It's been great curating our 2017 line-up with all of you! Don't miss out - today is the last day to cast your votes https://t.co/6ZytOF9hDC
Tue Feb 14 15:59:29 +0000 2017,@bcsuperfest,8.315333309653975e+17,Single-Day Bayou Country Superfest are on sale now! Buy now to get the best seats available. Ticketmaster -&gt; https://t.co/x0KHMIhYyD
Mon Feb 13 17:15:06 +0000 2017,@bcsuperfest,8.311899706772849e+17,Single-day Bayou Country Superfest will go on sale tomorrow at 10am! Buy early to get the best seats available. https://t.co/iuc7B4zDtl
Fri Mar 10 16:45:01 +0000 2017,@Boston_Calling,8.402420985699e+17,Happy Friday! https://t.co/AGDz6zzVig
Fri Mar 10 17:02:09 +0000 2017,@Hangoutfest,8.402464065898168e+17,Thursday Kickoff tickets are on sale now! https://t.co/NPb6Tcf6um
Fri Mar 10 21:50:47 +0000 2017,@BealeStMusicFes,8.403190463441797e+17,"STOKED to announce that @therecordcomp is joining this year's talented lineup &amp; will play Friday night!
Full lineup https://t.co/eSzD77Mu24"
Sat Mar 11 00:11:36 +0000 2017,@GovBallNYC,8.403544829617316e+17,m83 days left until #govballnyc! #fbf  https://t.co/P1HnjFTXhf
Wed Mar 08 15:47:20 +0000 2017,@GovBallNYC,8.39502804179796e+17,it's #internationalwomensday! listen to all the badass ladies playing in june  https://t.co/cYiIL1gvlW
Fri Mar 10 21:35:09 +0000 2017,@Sasquatch,8.403151115458191e+17,Happy album release day @TheShins! See them at Sasquatch Sun. 5/28! #Sasquatch2017 https://t.co/a0wrqb3n0b
Fri Mar 10 21:17:00 +0000 2017,@festivaltortuga,8.403105440998769e+17,"Who's ready to be at #TortugaFest?! 27 DAYS TO GO, Y'ALL! #TortugaFest #CheersTo5YearsYall"
